titolo;descrizione;indirizzo;max_persone;metratura;proprietario;servizi;foto_url
Trilocale luminoso ad Anconetta;Appartamento in ottime condizioni con soggiorno spazioso e cucina separata. Situato in una zona tranquilla, perfetto per famiglie;252;8;169;volontario1@example.com;WIFI;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Attico con vista a Sant'Angelo di Cetraro;Attico al settimo piano con ampie vetrate e vista panoramica. Dispone di due camere da letto e terrazzo privato;441;8;166;volontario2@example.com;RISCALDAMENTO;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Bilocale accogliente a Lambrugo;Appartamento ristrutturato con soggiorno open space e balcone. Situato in una zona residenziale ben servita.;253;7;184;volontario3@example.com;ARIACONDIZIONATA;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Casa indipendente a Valdastico;Villetta con giardino privato, ampio soggiorno con camino e cucina abitabile. Perfetta per chi cerca tranquillità.;254;9;65;volontario1@example.com;WIFI;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Rustico immerso nel verde a Sover;Caratteristica casa di montagna con travi a vista e camino. Ideale per chi ama la natura e le escursioni.;255;7;32;volontario2@example.com;RISCALDAMENTO;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Appartamento con terrazzo a Cesara;Moderno trilocale con ampio terrazzo e vista aperta. Ottima esposizione solare e rifiniture di pregio.;256;8;136;volontario3@example.com;ARIACONDIZIONATA;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Quadrilocale spazioso a Corinaldo;Ampio appartamento con tre camere, due bagni e cucina abitabile. Vicino ai principali servizi e ben collegato.;257;5;89;volontario1@example.com;WIFI;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Attico panoramico a Fraciscio;Ultimo piano con vista sulle montagne, travi in legno e ampio soggiorno. Perfetto per le vacanze o come seconda casa.;258;8;48;volontario2@example.com;RISCALDAMENTO;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Trilocale in centro a Pontebba;Luminoso appartamento con due camere e soggiorno open space. Posizione comoda vicino a negozi e trasporti;259;1;59;volontario3@example.com;ARIACONDIZIONATA;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Villetta in campagna a Settimello;Casa indipendente con ampio giardino e portico. Zona tranquilla, perfetta per chi cerca relax e privacy;260;6;158;volontario1@example.com;WIFI;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Appartamento con vista a Pieve Fosciana;Trilocale con terrazzo panoramico, ottima esposizione e rifiniture moderne. Vicino al centro e ai servizi principali.;261;9;175;volontario2@example.com;RISCALDAMENTO;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Monolocale a Trieste;Piccolo ma funzionale, con angolo cottura e balcone. Perfetto per single o investimento;262;1;197;volontario3@example.com;ARIACONDIZIONATA;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Casa in pietra a Martano;Affascinante dimora con soffitti a volta e cortile interno. Una soluzione unica nel cuore del Salento.;263;3;130;volontario1@example.com;WIFI;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Ampio appartamento a Salerno;Quadrilocale luminoso con doppi servizi e balcone. Vicino al centro e ben servito dai mezzi pubblici.;264;9;129;volontario2@example.com;RISCALDAMENTO;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Bilocale moderno a Milano;Ristrutturato di recente, con soggiorno open space e cucina a vista. Ideale per giovani coppie.;265;6;21;volontario3@example.com;ARIACONDIZIONATA;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Villa con giardino a Mulargia;Casa indipendente circondata dal verde, con ampi spazi e veranda. Perfetta per chi ama la natura.;266;6;65;volontario1@example.com;WIFI;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Monolocale centrale a Roma;Moderno e funzionale, vicino alla metro e ai principali servizi. Ideale per lavoratori e studenti.;267;10;142;volontario2@example.com;RISCALDAMENTO;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Trilocale ristrutturato a Corteolona;Appartamento con finiture di pregio, cucina abitabile e balcone. Zona tranquilla e ben servita;268;2;170;volontario3@example.com;ARIACONDIZIONATA;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Chalet in montagna a Moehlen in Taufer;Caratteristico chalet in legno con camino e vista sulle Dolomiti. Perfetto per vacanze invernali e relax.;269;2;107;volontario1@example.com;WIFI;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Bilocale accogliente a Fontanelle;Appartamento al secondo piano con soggiorno luminoso e cucina separata. Zona tranquilla e ben servita.;270;10;142;volontario2@example.com;RISCALDAMENTO;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Villetta panoramica a Rocca D'Arce;Casa indipendente con giardino privato e vista sulle colline. Perfetta per chi cerca relax e natura.;442;6;106;volontario3@example.com;ARIACONDIZIONATA;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Appartamento moderno a Petriccione;Trilocale ristrutturato con balcone e cucina a vista. Ottima esposizione e posizione centrale.;271;8;51;volontario1@example.com;WIFI;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Trilocale elegante a Padova;Ampio appartamento in centro con finiture di pregio. Ideale per famiglie o professionisti.;272;5;30;volontario2@example.com;RISCALDAMENTO;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Attico con terrazza a Chiocchio;Ultimo piano con vista sulle colline toscane, soggiorno spazioso e cucina moderna. Luminoso e raffinato.;273;5;187;volontario3@example.com;ARIACONDIZIONATA;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Chalet di montagna a Pera;Accogliente casa in legno con camino e giardino privato. Ideale per vacanze e amanti della montagna.;274;8;191;volontario1@example.com;WIFI;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Appartamento luminoso ad Aielli;Trilocale al terzo piano con balcone panoramico e cucina abitabile. Zona tranquilla e ben collegata.;275;7;179;volontario2@example.com;RISCALDAMENTO;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Attico vista mare a Livorno;Ampio attico con terrazzo panoramico, perfetto per godersi il tramonto sul mare. Rifiniture moderne.;276;6;115;volontario3@example.com;ARIACONDIZIONATA;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Quadrilocale spazioso a Fontanelle Casasanta;Appartamento con tre camere, soggiorno doppio e due balconi. Ottima soluzione per famiglie.;277;1;64;volontario1@example.com;WIFI;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Casa indipendente a Bella;Villetta con giardino e ampio soggiorno con camino. Ideale per chi cerca tranquillità e spazi verdi.;278;7;152;volontario2@example.com;RISCALDAMENTO;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Trilocale ristrutturato a Ciro' Marina;Appartamento moderno con cucina open space e balcone. Vicino al mare e ai servizi principali.;450;2;77;volontario3@example.com;ARIACONDIZIONATA;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Bilocale con giardino a Campagnola;Appartamento con ingresso indipendente e spazio esterno privato. Perfetto per coppie o single.;279;2;95;volontario1@example.com;WIFI;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Trilocale in centro a Caraglio;Luminoso e accogliente, con balcone e cucina abitabile. Posizione strategica vicino ai negozi.;280;7;78;volontario2@example.com;RISCALDAMENTO;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Rustico caratteristico a Fossombrone;Casa in pietra con travi a vista e giardino. Soluzione ideale per chi ama il fascino del passato.;281;4;122;volontario3@example.com;ARIACONDIZIONATA;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Monolocale moderno a Milano;Piccolo ma funzionale, con angolo cottura e balcone. Perfetto per giovani professionisti o studenti.;282;4;38;volontario1@example.com;WIFI;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Bilocale accogliente ad Acceglio;Appartamento immerso nella natura con balcone panoramico. Ideale per vacanze o seconda casa.;283;8;152;volontario2@example.com;RISCALDAMENTO;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Casa tipica a Petralia Sottana;Dimora in stile siciliano con cortile interno e soffitti alti. Un'opportunità unica nel cuore del paese.;284;10;98;volontario3@example.com;ARIACONDIZIONATA;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Appartamento vista mare a Procida;Trilocale con terrazzo e vista mozzafiato. A pochi passi dal porto e dalle spiagge più belle.;285;5;116;volontario1@example.com;WIFI;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Quadrilocale elegante a Roma;Ampio appartamento al quinto piano con finiture moderne e balcone. Zona residenziale ben servita.;286;4;103;volontario2@example.com;RISCALDAMENTO;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Attico con terrazzo ad Aci Castello;Panoramico e luminoso, con vista sul mare e finiture di pregio. Ideale per chi cerca comfort e bellezza.;287;7;31;volontario3@example.com;ARIACONDIZIONATA;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Bilocale moderno a Treviolo;Appartamento con soggiorno open space e balcone. Zona tranquilla e ben servita.;288;9;26;volontario1@example.com;WIFI;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Trilocale con vista a Montottone;Appartamento luminoso con cucina abitabile e terrazzo. Ottima esposizione e finiture di pregio.;289;4;158;volontario2@example.com;RISCALDAMENTO;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Monolocale accogliente a Saronno;Soluzione funzionale con angolo cottura e balcone. Ideale per single o investimento.;290;5;188;volontario3@example.com;ARIACONDIZIONATA;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Rustico panoramico a Monticchiello;Casa in pietra con travi a vista e giardino. Perfetta per chi ama la natura.;291;4;42;volontario1@example.com;WIFI;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Trilocale moderno a Peregallo;Appartamento con ampie vetrate e finiture di design. Vicino ai principali servizi.;292;7;99;volontario2@example.com;RISCALDAMENTO;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Casa indipendente a Gonte;Villetta con giardino privato e garage. Zona residenziale e ben collegata.;293;2;22;volontario3@example.com;ARIACONDIZIONATA;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Casale in campagna a Bornate Sesia;Ampia casa con cortile e terreno. Ideale per chi cerca spazio e tranquillità.;294;10;190;volontario1@example.com;WIFI;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Appartamento luminoso a Staffoli;Trilocale con balcone e cucina separata. Comodo ai negozi e ai trasporti.;295;6;153;volontario2@example.com;RISCALDAMENTO;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Bilocale con vista a Vologno di Sotto;Piccolo appartamento con terrazza panoramica. Perfetto per una coppia o come seconda casa.;296;7;146;volontario3@example.com;ARIACONDIZIONATA;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Trilocale in montagna a Ruffré;Appartamento con camino e balcone panoramico. Ideale per chi ama lo sci e le escursioni.;451;2;105;volontario1@example.com;WIFI;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Quadrilocale ristrutturato a Dogliani;Ampio appartamento con tre camere, doppi servizi e balcone. Ottima posizione centrale.;297;5;102;volontario2@example.com;RISCALDAMENTO;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Bilocale moderno a Forano;Appartamento al primo piano con finiture nuove e cucina a vista. Perfetto per giovani coppie.;298;1;176;volontario3@example.com;ARIACONDIZIONATA;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Attico con terrazzo a Torino;Ampio attico con vista sulla città. Terrazzo abitabile e finiture di alta qualità.;299;9;136;volontario1@example.com;WIFI;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Casa storica a Ururi;Dimora caratteristica con soffitti in legno e cortile interno. Perfetta per chi ama il fascino del passato.;300;1;43;volontario2@example.com;RISCALDAMENTO;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Villetta con giardino a Villanova D'Asti;Casa indipendente con ampi spazi e veranda. Zona residenziale tranquilla.;444;5;51;volontario3@example.com;ARIACONDIZIONATA;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Trilocale rustico a Ficuzza;Appartamento con travi in legno e camino. Immerso nel verde e vicino ai sentieri naturali.;301;1;68;volontario1@example.com;WIFI;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Attico panoramico a Trebisacce;Ultimo piano con terrazzo, soggiorno open space e ottima esposizione al sole.;302;1;75;volontario2@example.com;RISCALDAMENTO;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Bilocale in borgo storico a Massenzatica;Appartamento con dettagli originali e vista sulla piazza. Atmosfera unica.;303;5;57;volontario3@example.com;ARIACONDIZIONATA;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Rustico immerso nel verde a Decontra;Casa indipendente con giardino e camino. Perfetta per rilassarsi nella natura.;304;9;120;volontario1@example.com;WIFI;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Casa con terrazzo a Pompeiana;Trilocale con vista mare e finiture moderne. Vicino alle spiagge e ai servizi.;305;9;29;volontario2@example.com;RISCALDAMENTO;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Trilocale luminoso a Stazione Di Montale;Appartamento con soggiorno spazioso e balcone. Ottima esposizione e vicino alla stazione.;306;1;156;volontario3@example.com;ARIACONDIZIONATA;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Attico panoramico a Mandia Di Ascea;Ultimo piano con terrazzo e vista sul mare. Ampia zona giorno e cucina moderna.;307;8;196;volontario1@example.com;WIFI;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Casa indipendente a Canale;Villetta con giardino privato, perfetta per chi cerca tranquillità. Spazi ampi e ben distribuiti.;308;8;146;volontario2@example.com;RISCALDAMENTO;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Appartamento in centro a Quargnento;Bilocale ristrutturato con cucina a vista e soggiorno luminoso. Zona servita e comoda.;309;10;58;volontario3@example.com;ARIACONDIZIONATA;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Casale rustico a Doganella Di Ninfa;Dimora storica con soffitti in legno e camino. Ampio giardino, ideale per chi ama la natura.;310;10;96;volontario1@example.com;WIFI;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Chalet di montagna a Cleulis;Casa in legno con vista panoramica. Ampio soggiorno con camino, perfetta per vacanze invernali.;311;8;146;volontario2@example.com;RISCALDAMENTO;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Villa con giardino a Donnafugata;Dimora elegante con ampi spazi interni e piscina privata. Finiture di pregio e massima privacy.;312;7;171;volontario3@example.com;ARIACONDIZIONATA;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Trilocale moderno a Roncaglia;Appartamento al quinto piano con ascensore, soggiorno con angolo cottura e terrazzo.;313;6;173;volontario1@example.com;WIFI;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Casa indipendente ad Arborea;Villetta immersa nel verde con veranda e giardino. Ottima per famiglie in cerca di spazio e tranquillità.;314;10;86;volontario2@example.com;RISCALDAMENTO;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Rustico ristrutturato a Staffarda;Casa in pietra con soffitti a travi e cortile privato. Perfetta per chi ama il fascino del passato.;315;10;40;volontario3@example.com;ARIACONDIZIONATA;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Bilocale con balcone a Rialto;Appartamento in zona tranquilla, ben esposto e luminoso. Ottimo anche come investimento.;316;9;59;volontario1@example.com;WIFI;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Quadrilocale spazioso a Sant'Amato;Appartamento con tre camere, doppi servizi e soggiorno ampio. Vicino ai principali servizi.;317;4;66;volontario2@example.com;RISCALDAMENTO;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Attico con terrazzo a Cassago Brianza;Ultimo piano con ampia terrazza panoramica. Cucina moderna e zona living luminosa.;445;6;86;volontario3@example.com;ARIACONDIZIONATA;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Casa vista lago a Bogliaco;Villetta con giardino e splendida vista. Spazi ben distribuiti e finiture di alta qualità.;318;8;47;volontario1@example.com;WIFI;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Appartamento centrale a Trieste;Bilocale al quinto piano con ascensore. Soggiorno open space e balcone con vista aperta.;319;7;34;volontario2@example.com;RISCALDAMENTO;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Trilocale ristrutturato a Mignano Monte Lungo;Appartamento con finiture moderne, cucina abitabile e soggiorno spazioso.;320;9;24;volontario3@example.com;ARIACONDIZIONATA;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Villetta con giardino a Morlupo;Casa indipendente con ampi spazi interni ed esterni. Perfetta per chi cerca privacy e comodità.;321;9;29;volontario1@example.com;WIFI;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Bilocale accogliente a Sermugnano;Piccolo appartamento ristrutturato con travi a vista e camino. Ideale per single o coppie.;322;4;41;volontario2@example.com;RISCALDAMENTO;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Monolocale moderno a Orgosolo;Spazio ottimizzato con cucina a vista e balcone. Perfetto per giovani e lavoratori.;323;10;106;volontario3@example.com;ARIACONDIZIONATA;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Casa immersa nel verde a Premilcuore;Villetta con giardino privato, soggiorno con camino e ampi spazi esterni. Ideale per relax.;324;6;194;volontario1@example.com;WIFI;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Trilocale accogliente a Orta Nova;Appartamento luminoso con due camere da letto, soggiorno ampio e cucina abitabile. Zona tranquilla e ben servita.;325;4;121;volontario2@example.com;RISCALDAMENTO;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Bilocale moderno a Tronzano Vercellese;Appartamento al quarto piano con balcone, cucina open space e bagno ristrutturato. Ottima esposizione solare.;326;8;116;volontario3@example.com;ARIACONDIZIONATA;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Casa indipendente a Bazzana;Villetta con giardino privato e ampi spazi interni. Perfetta per chi cerca tranquillità e comodità.;327;1;66;volontario1@example.com;WIFI;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Trilocale con vista a Carema;Appartamento in centro con soggiorno spazioso e balcone panoramico. Vicino a negozi e trasporti.;328;7;77;volontario2@example.com;RISCALDAMENTO;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Attico con terrazzo a Tor San Lorenzo;Appartamento all'ultimo piano con ampio terrazzo e vista aperta. Interni moderni e rifiniti con cura.;329;6;46;volontario3@example.com;ARIACONDIZIONATA;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Rustico immerso nel verde a Morolo;Casa in pietra con travi a vista e camino. Ideale per chi ama la natura e la vita all’aria aperta.;330;1;45;volontario1@example.com;WIFI;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Bilocale ristrutturato ad Affile;Appartamento con soggiorno open space e cucina a vista. Posizione centrale e ben collegata.;331;8;177;volontario2@example.com;RISCALDAMENTO;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Quadrilocale spazioso a Nuraminis;Appartamento al quarto piano con tre camere da letto, doppi servizi e balcone. Ottima soluzione per famiglie.;332;3;99;volontario3@example.com;ARIACONDIZIONATA;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Attico vista lago a Bardolino;Ampio appartamento con terrazzo panoramico sul lago. Rifiniture di pregio e posizione esclusiva.;333;7;39;volontario1@example.com;WIFI;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Villa indipendente a Peseggia;Casa con giardino privato, ampi spazi interni e garage doppio. Ideale per chi cerca comfort e indipendenza.;334;4;64;volontario2@example.com;RISCALDAMENTO;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Bilocale con terrazzo a Carpineto Romano;Appartamento al piano alto con soggiorno luminoso e terrazzo. Ottima esposizione e zona ben servita.;335;7;180;volontario3@example.com;ARIACONDIZIONATA;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Appartamento in centro a Cervia;Trilocale con finiture moderne, soggiorno con angolo cottura e balcone. Posizione comoda vicino ai servizi.;336;2;118;volontario1@example.com;WIFI;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Attico panoramico a Nichelino;Appartamento al settimo piano con vista aperta, due camere da letto e terrazzo privato. Ottima luminosità.;337;6;159;volontario2@example.com;RISCALDAMENTO;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Casa vista mare a Cala Gonone;Villetta indipendente con giardino e terrazzo panoramico. Perfetta per vacanze o residenza permanente.;338;3;195;volontario3@example.com;ARIACONDIZIONATA;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Trilocale ristrutturato a Cascine Vica;Appartamento con cucina abitabile, soggiorno ampio e due camere da letto. Zona tranquilla e ben collegata.;339;7;190;volontario1@example.com;WIFI;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Villetta moderna a Olmi;Casa indipendente con giardino e veranda coperta. Ideale per famiglie e amanti degli spazi verdi.;340;6;115;volontario2@example.com;RISCALDAMENTO;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Rustico in pietra a San Lazzaro;Caratteristica casa con travi in legno e camino. Ottima per chi cerca una soluzione immersa nel verde.;341;7;46;volontario3@example.com;ARIACONDIZIONATA;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Appartamento con terrazzo a Livorno;Trilocale con ampio terrazzo, soggiorno open space e cucina moderna. A pochi passi dai servizi principali.;342;6;91;volontario1@example.com;WIFI;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Attico con vista a Pallanzeno;Appartamento al sesto piano con terrazza panoramica, finiture di pregio e spazi ben distribuiti.;343;3;30;volontario2@example.com;RISCALDAMENTO;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Bilocale accogliente a Madonna Della Neve;Appartamento ristrutturato con soggiorno open space e balcone. Perfetto per giovani coppie o investimento.;344;3;157;volontario3@example.com;ARIACONDIZIONATA;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
