Titoloo;Disponibilita;indirizzo;Numero_candidature;Lista_candidati;Tipologia;Posizione_Lavorativa;Nome_Azienda;Orario_lavoro;Tipo_contratto;Retribuzione;Nome_sede;Info_Utili;proprietario_email
Addetto/a social media marketing - Contratto iniziale;True;88;40;[];True;Addetto/a social media marketing;IdroPower;07:00-18:13;PROGETTO;1655.96;Filiale Centro;Conoscenza delle principali piattaforme social, competenze di copywriting e analisi. Contratto iniziale. Livello di istruzione richiesto: diploma o corso specifico.;volontario2@example.com
Sarto/a per sartoria locale - Lavoro su misura;True;89;52;[];True;Sarto/a;GreenGarden;09:00-17:13;PART_TIME;1909.36;Divisione Tecnica Bologna;Esperienza nella creazione e modifica di abiti su misura. Precisione e attenzione ai dettagli richieste. Livello di istruzione richiesto: scuola dell’obbligo.;volontario1@example.com
Falegname cercasi - Contratto stabile;True;90;80;[];True;Falegname;LiftTech;07:00-19:13;INTERNSHIP;3887.51;Laboratorio Firenze;Conoscenza della lavorazione del legno e utilizzo di strumenti professionali. Contratto stabile. Livello di istruzione richiesto: diploma tecnico.;volontario3@example.com
Operaio/a tessile - Produzione di qualità;True;91;69;[];True;Operaio/a tessile;ElettroService;10:00-19:13;PROGETTO;3567.21;Filiale Centro;Esperienza in macchine tessili preferibile. Precisione nella produzione e controllo qualità. Livello di istruzione richiesto: scuola dell’obbligo.;volontario2@example.com
Addetto/a assemblaggio - Inizio immediato;True;92;69;[];True;Addetto/a assemblaggio;ArredoMobili;10:00-18:13;COLLABORAZIONE;2619.25;Sede Operativa Sud;Capacità manuali e velocità nell'assemblaggio di componenti. Inizio immediato. Livello di istruzione richiesto: scuola dell’obbligo.;volontario1@example.com
Tecnico riparazioni elettrodomestici - Formazione offerta;True;93;52;[];True;Tecnico riparazioni elettrodomestici;GreenGarden;08:00-19:14;ALTRO;5185.79;Centro Manutenzioni Napoli;Competenze tecniche di base e disponibilità ad apprendere nuove abilità. Formazione garantita. Livello di istruzione richiesto: diploma tecnico.;volontario3@example.com
Calzolaio per bottega artigianale - Posizione stabile;True;94;52;[];True;Calzolaio;LiftTech;07:00-18:14;PROGETTO;1746.28;Filiale Centro;Esperienza nella riparazione e creazione di calzature artigianali. Posizione stabile. Livello di istruzione richiesto: scuola dell’obbligo.;volontario2@example.com
Addetto/a lavorazione metalli - Opportunità locale;True;95;50;[];True;Addetto/a lavorazione metalli;TecnoMetal;09:00-17:14;ALTRO;2489.85;UnitÃ  Produttiva Roma;Conoscenza base della lavorazione dei metalli e utilizzo di macchinari specifici. Opportunità locale. Livello di istruzione richiesto: diploma tecnico.;volontario1@example.com
Restauratore di mobili - Collaborazione regolare;True;96;54;[];True;Restauratore di mobili;Verniciature Rossi;07:00-19:14;PROGETTO;5376.66;UnitÃ  Produttiva Roma;Esperienza nella riparazione e restauro di mobili antichi. Collaborazione regolare. Livello di istruzione richiesto: diploma tecnico o artistico.;volontario3@example.com
Ceramista per laboratorio artistico - Contratto flessibile;True;97;34;[];True;Ceramista;ArredoMobili;10:00-19:14;PROGETTO;2225.97;Divisione Tecnica Bologna;Abilità nella modellazione e decorazione della ceramica. Contratto flessibile per progetti creativi. Livello di istruzione richiesto: scuola dell’obbligo.;volontario2@example.com
Orafo/a cercasi - Possibilità di crescita;True;98;75;[];True;Orafo/a;Verniciature Rossi;10:00-18:14;ALTRO;5904.42;Sede Operativa Sud;Esperienza nella lavorazione dei metalli preziosi e creazione di gioielli. Possibilità di crescita. Livello di istruzione richiesto: diploma tecnico o artistico.;volontario1@example.com
Addetto/a amministrativo - Contratto regolare;True;99;15;[];True;Addetto/a amministrativo;IdroPower;08:00-19:15;INTERNSHIP;3895.4;Headquarters Milano;Competenze amministrative di base, utilizzo di software gestionali e precisione. Contratto regolare. Livello di istruzione richiesto: diploma.;volontario3@example.com
Segretario/a per studio medico - Flessibilità garantita;True;100;21;[];True;Segretario/a;ArredoMobili;07:00-18:15;INTERNSHIP;2585.59;Hub Tecnologico Genova;Capacità organizzative, gestione appuntamenti e conoscenza base di strumenti informatici. Flessibilità oraria garantita. Livello di istruzione richiesto: diploma.;volontario2@example.com
Contabile junior - Opportunità in studio professionale;True;101;36;[];True;Contabile junior;ElettroService;09:00-17:15;COLLABORAZIONE;5085.46;Headquarters Milano;Conoscenza base di contabilità e utilizzo di Excel. Opportunità in studio professionale. Livello di istruzione richiesto: diploma o laurea in economia.;volontario1@example.com
Data entry amministrativo - Lavoro in smart working;True;102;34;[];True;Data entry amministrativo;GreenGarden;07:00-19:15;INTERNSHIP;2354.4;Centro Manutenzioni Napoli;Precisione e velocità nell'inserimento dati. Opportunità di lavoro in smart working. Livello di istruzione richiesto: diploma.;volontario3@example.com
Assistente personale - Contratto a tempo pieno;True;103;36;[];True;Assistente personale;ElettroService;10:00-19:15;FULL_TIME;2454.51;Filiale Centro;Buone capacità organizzative, gestione agenda e discrezione. Contratto a tempo pieno. Livello di istruzione richiesto: diploma.;volontario2@example.com
Operatore/trice call center - Opportunità part-time;True;104;66;[];True;Operatore/trice call center;LiftTech;10:00-18:15;COLLABORAZIONE;4248.27;Stabilimento Nord;Buone capacità comunicative e orientamento al cliente. Opportunità part-time. Livello di istruzione richiesto: scuola dell’obbligo.;volontario1@example.com
Receptionist in azienda - Ambiente accogliente;True;105;12;[];True;Receptionist;TecnoMetal;08:00-19:16;APPRENDISTATO;2301.36;Headquarters Milano;Accoglienza clienti, gestione chiamate e appuntamenti. Ambiente accogliente. Livello di istruzione richiesto: diploma.;volontario3@example.com
Addetto/a archiviazione documenti - Inizio immediato;True;106;39;[];True;Addetto/a archiviazione documenti;AutoFix;07:00-18:16;COLLABORAZIONE;3376.01;Officina Torino;Precisione e capacità organizzative nella gestione e archiviazione di documenti. Inizio immediato. Livello di istruzione richiesto: scuola dell’obbligo.;volontario2@example.com
Gestore pratiche amministrative - Contratto con benefit;True;107;84;[];True;Gestore pratiche amministrative;AutoFix;09:00-17:16;INTERNSHIP;2575.22;Hub Tecnologico Genova;Esperienza nella gestione di pratiche amministrative e ottime capacità relazionali. Contratto con benefit. Livello di istruzione richiesto: diploma.;volontario1@example.com
Assistente legale junior - Formazione garantita;True;108;15;[];True;Assistente legale junior;Verniciature Rossi;07:00-19:16;PART_TIME;3227.19;Laboratorio Firenze;Conoscenza base del diritto, gestione di pratiche legali e supporto ai professionisti. Formazione garantita. Livello di istruzione richiesto: laurea in giurisprudenza.;volontario3@example.com
Addetto/a alla griglia - Ristorante informale;True;109;86;[];True;Addetto/a alla griglia;IdroPower;10:00-19:16;APPRENDISTATO;5259.52;Headquarters Milano;Esperienza preferibile ma non indispensabile. Richiesta velocità e precisione nella preparazione delle pietanze. Livello di istruzione richiesto: scuola dell’obbligo.;volontario2@example.com
Cuoco/a specializzato in cucina etnica - Contratto stabile;True;110;95;[];True;Cuoco/a cucina etnica;IdroPower;10:00-18:16;ALTRO;3739.13;UnitÃ  Produttiva Roma;Esperienza nella preparazione di piatti etnici e creatività culinaria. Contratto stabile. Livello di istruzione richiesto: diploma alberghiero o equivalente.;volontario1@example.com
Responsabile sala - Leadership e organizzazione;True;111;77;[];True;Responsabile sala;ArredoMobili;08:00-19:17;COOPERATIVA;3451.71;Divisione Tecnica Bologna;Capacità di gestione del personale, organizzazione e attenzione al cliente. Leadership richiesta. Livello di istruzione richiesto: diploma o laurea.;volontario3@example.com
Barista esperto in mixology - Opportunità di crescita;True;112;55;[];True;Barista mixology;EcoManutenzioni;07:00-18:17;ALTRO;5885.9;Centro Manutenzioni Napoli;Esperienza in mixology e preparazione cocktail. Opportunità di crescita in un ambiente dinamico. Livello di istruzione richiesto: diploma.;volontario2@example.com
Sommelier per ristorante gourmet - Formazione inclusa;True;113;32;[];True;Sommelier;LiftTech;09:00-17:17;PART_TIME;3425.55;Sede Operativa Sud;Conoscenza base dei vini e passione per il settore. Formazione inclusa per l’acquisizione di certificazioni. Livello di istruzione richiesto: diploma.;volontario1@example.com
Aiuto pasticcere per laboratorio locale - Turni mattutini;True;114;68;[];True;Aiuto pasticcere;ArredoMobili;07:00-19:17;INTERNSHIP;4632.79;Officina Torino;Interesse per la pasticceria, abilità manuali e disponibilità ai turni mattutini. Livello di istruzione richiesto: diploma.;volontario3@example.com
Addetto/a food truck - Contratto dinamico;True;115;6;[];True;Addetto/a food truck;Carpenteria Italiana;10:00-19:17;ALTRO;1516.47;Sede Operativa Sud;Capacità di lavorare in spazi ridotti e in movimento. Contratto dinamico e flessibile. Livello di istruzione richiesto: scuola dell’obbligo.;volontario2@example.com
Cameriere/a part-time per eventi privati;True;116;78;[];True;Cameriere/a;Verniciature Rossi;10:00-18:17;PART_TIME;3477.33;Divisione Tecnica Bologna;Buone capacità relazionali, precisione e flessibilità. Ideale per studenti. Livello di istruzione richiesto: scuola dell’obbligo.;volontario1@example.com
Chef di partita - Menù stagionali e freschi;True;117;62;[];True;Chef di partita;LiftTech;08:00-19:18;PROGETTO;4285.68;Hub Tecnologico Genova;Esperienza nella gestione di una partita, creatività e conoscenza dei prodotti freschi. Livello di istruzione richiesto: diploma alberghiero.;volontario3@example.com
Pizzaiolo/a apprendista - Formazione retribuita;True;118;34;[];True;Pizzaiolo/a apprendista;Carpenteria Italiana;07:00-18:18;FULL_TIME;1576.71;Headquarters Milano;Interesse per la preparazione della pizza. Formazione retribuita con possibilità di crescita. Livello di istruzione richiesto: scuola dell’obbligo.;volontario2@example.com
Tinteggiatore con esperienza in decorazioni;True;119;50;[];True;Tinteggiatore;GreenGarden;09:00-17:18;COOPERATIVA;2445.16;Laboratorio Firenze;Esperienza nella tinteggiatura e decorazioni murali. Precisione e creatività richieste. Livello di istruzione richiesto: scuola dell’obbligo.;volontario1@example.com
Operaio/a pavimentista per cantieri civili;True;120;31;[];True;Operaio/a pavimentista;LiftTech;07:00-19:18;APPRENDISTATO;2574.2;Officina Torino;Esperienza nella posa di pavimenti e utilizzo di strumenti specifici. Livello di istruzione richiesto: scuola dell’obbligo.;volontario3@example.com
Addetto/a alla posa di infissi - Contratto diretto;True;121;24;[];True;Addetto/a posa infissi;TecnoMetal;10:00-19:18;ALTRO;5000.32;Filiale Centro;Esperienza nella posa di infissi e serramenti. Contratto diretto. Livello di istruzione richiesto: diploma tecnico.;volontario2@example.com
Progettista edile junior - Collaborazione a lungo termine;True;122;3;[];True;Progettista edile junior;Verniciature Rossi;10:00-18:18;COOPERATIVA;4054.86;Centro Manutenzioni Napoli;Conoscenza di software CAD e capacità di lavorare in team. Collaborazione a lungo termine. Livello di istruzione richiesto: laurea in ingegneria o architettura.;volontario1@example.com
Editor Video Junior - Inizio immediato!;True;123;34;[];True;Editor Video;IdroPower;08:00-19:19;PROGETTO;5830.09;Headquarters Milano;Stiamo cercando un Editor Video Junior con esperienza nell’utilizzo di software di editing come Premiere e Final Cut per la creazione e montaggio di contenuti visivi.;volontario3@example.com
Escavatorista con patentino - Lavoro ben retribuito;True;124;70;[];True;Escavatorista;TecnoMetal;07:00-18:19;ALTRO;2098.8;Sede Operativa Sud;Patentino per escavatore in corso di validità e capacità di lavorare in sicurezza. Lavoro ben retribuito. Livello di istruzione richiesto: scuola dell’obbligo.;volontario2@example.com
Posatore di cartongesso - Progetto immediato;True;125;64;[];True;Posatore di cartongesso;EcoManutenzioni;09:00-17:19;ALTRO;5739.13;Officina Torino;Esperienza nella posa di cartongesso e rifiniture. Progetto immediato. Livello di istruzione richiesto: scuola dell’obbligo.;volontario1@example.com
Operatore gru su cantiere - Inizio rapido;True;126;75;[];True;Operatore gru;LiftTech;07:00-19:19;COOPERATIVA;4248.03;Hub Tecnologico Genova;Patentino per gru e capacità di lavorare in altezza. Inizio rapido. Livello di istruzione richiesto: scuola dell’obbligo.;volontario3@example.com
Installatore di impianti idrici - Lavoro regolare;True;127;15;[];True;Installatore impianti idrici;EcoManutenzioni;10:00-19:19;PROGETTO;1726.79;Divisione Tecnica Bologna;Esperienza nell’installazione e manutenzione di impianti idrici. Lavoro regolare. Livello di istruzione richiesto: diploma tecnico.;volontario2@example.com
Operaio/a esperto in ristrutturazioni - Stipendio competitivo;True;128;72;[];True;Operaio/a ristrutturazioni;TecnoMetal;10:00-18:19;INTERNSHIP;5699.15;Stabilimento Nord;Esperienza in ristrutturazioni e utilizzo di attrezzature specifiche. Stipendio competitivo. Livello di istruzione richiesto: scuola dell’obbligo.;volontario1@example.com
Addetto/a gestione magazzino - Software dedicato;True;129;51;[];True;Addetto/a gestione magazzino;IdroPower;08:00-19:20;INTERNSHIP;1819.99;Sede Operativa Sud;Competenza nell’uso di software gestionali e organizzazione del magazzino. Precisione e capacità di lavorare in team. Livello di istruzione richiesto: diploma.;volontario3@example.com
Autista consegne food delivery - Flessibilità oraria;True;130;25;[];True;Autista food delivery;LiftTech;07:00-18:20;INTERNSHIP;4376.9;Sede Operativa Sud;Patente B, conoscenza della città e flessibilità oraria. Capacità di gestire consegne in tempi rapidi. Livello di istruzione richiesto: scuola dell’obbligo.;volontario2@example.com
Addetto/a trasporti pesanti - Retribuzione garantita;True;131;57;[];True;Addetto/a trasporti pesanti;TecnoMetal;09:00-17:20;FULL_TIME;2632.86;Stabilimento Nord;Esperienza nella gestione di carichi pesanti e utilizzo di attrezzature specifiche. Livello di istruzione richiesto: scuola dell’obbligo.;volontario1@example.com
Graphic Designer - Creazione Loghi e Brand Identity;True;132;48;[];True;Graphic Designer;LiftTech;07:00-19:20;PROGETTO;2734.62;Laboratorio Firenze;Siamo alla ricerca di un Graphic Designer esperto nella creazione di loghi e nella costruzione di brand identity.;volontario3@example.com
Mulettista per azienda locale - Contratto full time;True;133;17;[];True;Mulettista;TecnoMetal;10:00-19:20;COOPERATIVA;4475.79;Filiale Centro;Patentino per carrelli elevatori e capacità di gestire il carico e scarico merci. Contratto full time. Livello di istruzione richiesto: scuola dell’obbligo.;volontario2@example.com
Saldatore/a esperto/a - Opportunità di crescita professionale!;True;134;20;[];True;Saldatore/a;TecnoMetal;10:00-18:20;APPRENDISTATO;2870.74;Filiale Centro;Cerchiamo un Saldatore/a esperto/a con esperienza nella saldatura per lavori industriali. La posizione offre anche la possibilità di gestire piccoli team in fase di produzione.;volontario1@example.com
Conducente autobus turistico - Percorsi locali;True;135;84;[];True;Conducente autobus turistico;Verniciature Rossi;08:00-19:21;ALTRO;2871.16;Officina Torino;Patente D e CQC valide. Esperienza nella gestione di gruppi e conoscenza di percorsi turistici. Livello di istruzione richiesto: scuola dell’obbligo.;volontario3@example.com
Carrellista per stoccaggio merci - Ambiente dinamico;True;136;26;[];True;Carrellista;ElettroService;07:00-18:21;PROGETTO;5886.88;Hub Tecnologico Genova;Patentino per carrelli elevatori e capacità di organizzare lo stoccaggio in magazzino. Ambiente dinamico. Livello di istruzione richiesto: scuola dell’obbligo.;volontario2@example.com
Creatore di contenuti multilingue per aziende;True;137;14;[];True;Creatore di contenuti;TecnoMetal;09:00-17:21;FULL_TIME;4196.6;Hub Tecnologico Genova;Stiamo cercando un Creatore di contenuti multilingue con esperienza nella creazione di testi in nigeriano e arabo per supportare le nostre attività aziendali.;volontario1@example.com
Addetto/a al ricevimento merci in magazzino;True;138;41;[];True;Addetto/a ricevimento merci;Carpenteria Italiana;07:00-19:21;COLLABORAZIONE;2528.58;Centro Manutenzioni Napoli;Capacità di controllo qualità e gestione della documentazione. Precisione e affidabilità. Livello di istruzione richiesto: scuola dell’obbligo.;volontario3@example.com
Coltivatore di piante aromatiche - Opportunità sostenibile;True;139;77;[];True;Coltivatore di piante aromatiche;GreenGarden;10:00-19:21;COOPERATIVA;1867.93;UnitÃ  Produttiva Roma;Passione per l'agricoltura sostenibile e conoscenza delle tecniche di coltivazione di piante aromatiche. Livello di istruzione richiesto: scuola dell’obbligo.;volontario2@example.com
Addetto/a raccolta agrumi - Lavoro stagionale con alloggio;True;140;69;[];True;Addetto/a raccolta agrumi;GreenGarden;10:00-18:21;COLLABORAZIONE;5724.4;Headquarters Milano;Resistenza fisica e capacità di lavorare all'aperto. Alloggio fornito per la durata del lavoro stagionale. Livello di istruzione richiesto: scuola dell’obbligo.;volontario1@example.com
Operatore/trice serre idroponiche - Inizio immediato;True;141;76;[];True;Operatore/trice serre idroponiche;IdroPower;08:00-19:22;COLLABORAZIONE;5538.97;Officina Torino;Esperienza preferibile in coltivazioni idroponiche. Capacità di monitorare sistemi automatizzati. Livello di istruzione richiesto: diploma tecnico.;volontario3@example.com
Collaboratore per progetti di agricoltura biologica;True;142;26;[];True;Collaboratore progetti agricoltura biologica;AutoFix;07:00-18:22;INTERNSHIP;2867.62;Stabilimento Nord;Interesse per l'agricoltura biologica, capacità di lavorare in team e conoscenza delle normative di settore. Livello di istruzione richiesto: diploma.;volontario2@example.com
Organizzatore di spazi e Creatore di contenuti - Inizio immediato!;True;143;6;[];True;Organizzatore di spazi e Social Media Manage;IdroPower;09:00-17:22;COLLABORAZIONE;5408.7;Divisione Tecnica Bologna;Siamo alla ricerca di un Organizzatore di spazi e Creatore di contenuti per supportare i nostri progetti di riorganizzazione domestica e gestione dei social media.;volontario1@example.com
Addetto/a a impianti di irrigazione agricola;True;144;86;[];True;Addetto/a impianti di irrigazione;EcoManutenzioni;07:00-19:22;ALTRO;2795.83;UnitÃ  Produttiva Roma;Conoscenza tecnica di sistemi di irrigazione agricola. Capacità di installazione e manutenzione. Livello di istruzione richiesto: diploma tecnico.;volontario3@example.com
Potatore specializzato in alberi da frutto;True;145;70;[];True;Potatore alberi da frutto;IdroPower;10:00-19:22;INTERNSHIP;4243.85;Sede Operativa Sud;Esperienza nella potatura di alberi da frutto e utilizzo di attrezzature specifiche. Livello di istruzione richiesto: scuola dell’obbligo.;volontario2@example.com
Apicoltore junior - Formazione sul campo;True;146;24;[];True;Apicoltore junior;Carpenteria Italiana;10:00-18:22;APPRENDISTATO;5129.36;Filiale Centro;Interesse per l'apicoltura, disponibilità a lavorare in ambienti naturali. Formazione sul campo fornita. Livello di istruzione richiesto: scuola dell’obbligo.;volontario1@example.com
Operaio/a vinicolo in cantina - Vendemmia inclusa;True;147;55;[];True;Operaio/a vinicolo;ElettroService;08:00-19:23;PART_TIME;3279.81;Hub Tecnologico Genova;Esperienza preferibile in cantine vinicole. Partecipazione a vendemmia e lavorazioni in cantina. Livello di istruzione richiesto: scuola dell’obbligo.;volontario3@example.com
Allevatore/trice per piccolo allevamento biologico;True;148;31;[];True;Allevatore/trice biologico;Carpenteria Italiana;07:00-18:23;FULL_TIME;1878.73;Sede Operativa Sud;Esperienza in allevamenti e conoscenza delle tecniche biologiche. Passione per il lavoro con gli animali. Livello di istruzione richiesto: scuola dell’obbligo.;volontario2@example.com
Educatore/trice per minori in comunità;True;149;68;[];True;Educatore/trice per minori;GreenGarden;09:00-17:23;PART_TIME;5791.71;Stabilimento Nord;Esperienza nel lavoro con minori, capacità relazionali e empatia. Preferibile laurea in Scienze dell'Educazione o equivalente.;volontario1@example.com
Addetto/a supporto anziani - Contratto diretto;True;150;92;[];True;Addetto/a supporto anziani;LiftTech;07:00-19:23;ALTRO;5435.98;UnitÃ  Produttiva Roma;Attitudine all'assistenza degli anziani, disponibilità e affidabilità. Contratto diretto. Livello di istruzione richiesto: diploma.;volontario3@example.com
Operatore/trice per servizio trasporto disabili;True;151;87;[];True;Operatore/trice trasporto disabili;Carpenteria Italiana;10:00-19:23;COOPERATIVA;5788.27;Officina Torino;Patente B e capacità di lavorare con persone con disabilità. Esperienza preferibile. Livello di istruzione richiesto: scuola dell’obbligo.;volontario2@example.com
Consulente per inclusione sociale - Progetto locale;True;152;72;[];True;Consulente inclusione sociale;TecnoMetal;10:00-18:23;COOPERATIVA;5184.0;Headquarters Milano;Esperienza in progetti sociali, capacità di coordinamento e conoscenza delle politiche di inclusione. Livello di istruzione richiesto: laurea in scienze sociali.;volontario1@example.com
Baby sitter convivente - Alloggio incluso;True;153;72;[];True;Baby sitter convivente;IdroPower;08:00-19:24;APPRENDISTATO;5881.42;Headquarters Milano;Amore per i bambini, flessibilità e capacità organizzative. Offerto vitto e alloggio. Livello di istruzione richiesto: scuola dell’obbligo.;volontario3@example.com
Infermiere/a per assistenza domiciliare;True;154;64;[];True;Infermiere/a;TecnoMetal;07:00-18:24;FULL_TIME;4924.21;Hub Tecnologico Genova;Laurea in infermieristica e iscrizione all'albo professionale. Esperienza preferibile in assistenza domiciliare.;volontario2@example.com
Assistente scolastico per alunni con bisogni speciali;True;155;69;[];True;Assistente scolastico;ElettroService;09:00-17:24;COLLABORAZIONE;5378.74;Hub Tecnologico Genova;Esperienza nel supporto educativo e conoscenza delle esigenze di alunni con bisogni speciali. Livello di istruzione richiesto: diploma.;volontario1@example.com
Mediatore linguistico e culturale - Lavoro dinamico;True;156;22;[];True;Mediatore linguistico;ArredoMobili;07:00-19:24;APPRENDISTATO;5381.34;Laboratorio Firenze;Fluente in almeno due lingue straniere, capacità di mediazione e sensibilità culturale. Livello di istruzione richiesto: laurea in lingue o equivalente.;volontario3@example.com
Addetto/a supporto giovani migranti - Contratto flessibile;True;157;49;[];True;Addetto/a supporto migranti;IdroPower;10:00-19:24;ALTRO;3462.92;Sede Operativa Sud;Empatia, conoscenza delle normative per l'inclusione e capacità relazionali. Contratto flessibile. Livello di istruzione richiesto: diploma.;volontario2@example.com
Personal Trainer - Inizio Immediato!;True;158;5;[];True;Personal Trainer;Verniciature Rossi;10:00-18:24;COOPERATIVA;3638.83;Hub Tecnologico Genova;Stiamo cercando un Personal Trainer dinamico e motivato per offrire lezioni di sport personalizzate e programmi di allenamento su misura.;volontario1@example.com
Addetto/a alla vendita di prodotti sostenibili;True;159;55;[];True;Addetto/a vendite prodotti sostenibili;Verniciature Rossi;08:00-19:25;PART_TIME;5535.19;Sede Operativa Sud;Passione per la sostenibilità, ottime capacità relazionali e conoscenza dei prodotti eco-friendly. Livello di istruzione richiesto: diploma.;volontario3@example.com
Venditore ambulante - Progetto individuale;True;160;48;[];True;Venditore ambulante;IdroPower;07:00-18:25;INTERNSHIP;2698.22;UnitÃ  Produttiva Roma;Capacità di lavorare in autonomia e di relazionarsi con i clienti. Progetto individuale per attività itinerante. Livello di istruzione richiesto: scuola dell’obbligo.;volontario2@example.com
Store manager per catena di negozi locali;True;161;50;[];True;Store manager;ElettroService;09:00-17:25;INTERNSHIP;2948.77;Headquarters Milano;Esperienza nella gestione di punti vendita, leadership e capacità organizzative. Opportunità di crescita. Livello di istruzione richiesto: diploma o laurea.;volontario1@example.com
Consulente alle vendite per negozio tecnologico;True;162;16;[];True;Consulente vendite negozio tecnologico;IdroPower;07:00-19:25;ALTRO;3447.79;UnitÃ  Produttiva Roma;Conoscenza del settore tecnologico e orientamento al cliente. Livello di istruzione richiesto: diploma.;volontario3@example.com
Addetto/a al banco alimentare - Full time;True;163;2;[];True;Addetto/a banco alimentare;LiftTech;10:00-19:25;ALTRO;2020.43;Stabilimento Nord;Esperienza nella gestione del banco alimentare e conoscenza dei prodotti. Contratto full time. Livello di istruzione richiesto: scuola dell’obbligo.;volontario2@example.com
Promoter in centro commerciale - Lavoro flessibile;True;164;50;[];True;Promoter;TecnoMetal;10:00-18:25;PART_TIME;4714.04;Centro Manutenzioni Napoli;Capacità di comunicazione e promozione. Lavoro flessibile con obiettivi mensili. Livello di istruzione richiesto: scuola dell’obbligo.;volontario1@example.com
Gestore di negozio second-hand - Opportunità sociale;True;165;83;[];True;Gestore negozio second-hand;IdroPower;08:00-19:26;PROGETTO;2183.07;Sede Operativa Sud;Gestione di negozio e organizzazione delle vendite di articoli usati. Livello di istruzione richiesto: diploma.;volontario3@example.com
Addetto/a inventario per supermercati;True;166;96;[];True;Addetto/a inventario;Verniciature Rossi;07:00-18:26;INTERNSHIP;5161.42;Hub Tecnologico Genova;Precisione e capacità di organizzare l'inventario di grandi volumi di merci. Livello di istruzione richiesto: scuola dell’obbligo.;volontario2@example.com
Addetto/a reparto ortofrutta - Contratto immediato;True;167;59;[];True;Addetto/a reparto ortofrutta;TecnoMetal;09:00-17:26;ALTRO;5454.19;Headquarters Milano;Conoscenza dei prodotti freschi e capacità di gestire la sistemazione del reparto. Contratto immediato. Livello di istruzione richiesto: scuola dell’obbligo.;volontario1@example.com
Venditore per articoli artigianali locali;True;168;53;[];True;Venditore articoli artigianali;GreenGarden;07:00-19:26;PROGETTO;1815.31;Filiale Centro;Passione per l'artigianato locale, ottime capacità relazionali e di vendita. Livello di istruzione richiesto: diploma.;volontario3@example.com
Addetto/a booking per agenzia viaggi;True;169;41;[];True;Addetto/a booking;Verniciature Rossi;10:00-19:26;PROGETTO;2636.45;Hub Tecnologico Genova;Esperienza nella gestione di prenotazioni e utilizzo di software specifici. Ottime capacità relazionali. Livello di istruzione richiesto: diploma.;volontario2@example.com
